"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)"
CAL,"8/1/2024 12 a.m. PDT",2390,-4
CAL,"8/1/2024 1 a.m. PDT",2194,-5
CAL,"8/1/2024 2 a.m. PDT",1853,-3
CAL,"8/1/2024 3 a.m. PDT",1633,-3
CAL,"8/1/2024 4 a.m. PDT",1468,-3
CAL,"8/1/2024 5 a.m. PDT",1289,-5
CAL,"8/1/2024 6 a.m. PDT",1358,-5
CAL,"8/1/2024 7 a.m. PDT",1318,79
CAL,"8/1/2024 8 a.m. PDT",1307,1325
CAL,"8/1/2024 9 a.m. PDT",983,6151
CAL,"8/1/2024 10 a.m. PDT",877,11143
CAL,"8/1/2024 11 a.m. PDT",784,14079
CAL,"8/1/2024 12 p.m. PDT",635,14599
CAL,"8/1/2024 1 p.m. PDT",645,15408
CAL,"8/1/2024 2 p.m. PDT",715,14623
CAL,"8/1/2024 3 p.m. PDT",821,13937
CAL,"8/1/2024 4 p.m. PDT",868,12449
CAL,"8/1/2024 5 p.m. PDT",902,11456
CAL,"8/1/2024 6 p.m. PDT",906,10648
CAL,"8/1/2024 7 p.m. PDT",941,9111
CAL,"8/1/2024 8 p.m. PDT",1322,4615
CAL,"8/1/2024 9 p.m. PDT",1359,626
CAL,"8/1/2024 10 p.m. PDT",1650,-50
CAL,"8/1/2024 11 p.m. PDT",1944,-50
CAL,"8/2/2024 12 a.m. PDT",2263,-48
CAL,"8/2/2024 1 a.m. PDT",2511,-49
CAL,"8/2/2024 2 a.m. PDT",2410,-48
CAL,"8/2/2024 3 a.m. PDT",2534,-48
CAL,"8/2/2024 4 a.m. PDT",2732,-49
CAL,"8/2/2024 5 a.m. PDT",2378,-49
CAL,"8/2/2024 6 a.m. PDT",1674,-50
CAL,"8/2/2024 7 a.m. PDT",1155,-5
CAL,"8/2/2024 8 a.m. PDT",1016,883
CAL,"8/2/2024 9 a.m. PDT",895,4639
CAL,"8/2/2024 10 a.m. PDT",646,8179
CAL,"8/2/2024 11 a.m. PDT",383,9708
CAL,"8/2/2024 12 p.m. PDT",442,11485
CAL,"8/2/2024 1 p.m. PDT",581,13591
CAL,"8/2/2024 2 p.m. PDT",413,14229
CAL,"8/2/2024 3 p.m. PDT",409,13253
CAL,"8/2/2024 4 p.m. PDT",941,12270
CAL,"8/2/2024 5 p.m. PDT",748,12306
CAL,"8/2/2024 6 p.m. PDT",1419,10821
CAL,"8/2/2024 7 p.m. PDT",1991,9069
CAL,"8/2/2024 8 p.m. PDT",2299,4378
CAL,"8/2/2024 9 p.m. PDT",1997,706
CAL,"8/2/2024 10 p.m. PDT",2098,-46
CAL,"8/2/2024 11 p.m. PDT",2873,-48
CAL,"8/3/2024 12 a.m. PDT",2211,-44
CAL,"8/3/2024 1 a.m. PDT",1612,-45
CAL,"8/3/2024 2 a.m. PDT",1018,-44
CAL,"8/3/2024 3 a.m. PDT",972,-44
CAL,"8/3/2024 4 a.m. PDT",945,-44
CAL,"8/3/2024 5 a.m. PDT",918,-44
CAL,"8/3/2024 6 a.m. PDT",761,-44
CAL,"8/3/2024 7 a.m. PDT",576,89
CAL,"8/3/2024 8 a.m. PDT",539,1843
CAL,"8/3/2024 9 a.m. PDT",476,8292
CAL,"8/3/2024 10 a.m. PDT",452,13832
CAL,"8/3/2024 11 a.m. PDT",440,16902
CAL,"8/3/2024 12 p.m. PDT",398,17979
CAL,"8/3/2024 1 p.m. PDT",345,18207
CAL,"8/3/2024 2 p.m. PDT",386,18119
CAL,"8/3/2024 3 p.m. PDT",576,18033
CAL,"8/3/2024 4 p.m. PDT",933,17654
CAL,"8/3/2024 5 p.m. PDT",1361,16927
CAL,"8/3/2024 6 p.m. PDT",1941,16045
CAL,"8/3/2024 7 p.m. PDT",2402,13461
CAL,"8/3/2024 8 p.m. PDT",2652,7133
CAL,"8/3/2024 9 p.m. PDT",2540,1009
CAL,"8/3/2024 10 p.m. PDT",2970,-61
CAL,"8/3/2024 11 p.m. PDT",2926,-59
CAL,"8/4/2024 12 a.m. PDT",2928,-56
CAL,"8/4/2024 1 a.m. PDT",2850,-58
CAL,"8/4/2024 2 a.m. PDT",2681,-58
CAL,"8/4/2024 3 a.m. PDT",3009,-57
CAL,"8/4/2024 4 a.m. PDT",3037,-56
CAL,"8/4/2024 5 a.m. PDT",2999,-56
CAL,"8/4/2024 6 a.m. PDT",2998,-57
CAL,"8/4/2024 7 a.m. PDT",2993,73
CAL,"8/4/2024 8 a.m. PDT",2608,1913
CAL,"8/4/2024 9 a.m. PDT",2177,9171
CAL,"8/4/2024 10 a.m. PDT",1649,15027
CAL,"8/4/2024 11 a.m. PDT",1300,17054
CAL,"8/4/2024 12 p.m. PDT",974,17942
CAL,"8/4/2024 1 p.m. PDT",901,18282
CAL,"8/4/2024 2 p.m. PDT",957,18373
CAL,"8/4/2024 3 p.m. PDT",1048,18247
CAL,"8/4/2024 4 p.m. PDT",1236,17591
CAL,"8/4/2024 5 p.m. PDT",1599,17055
CAL,"8/4/2024 6 p.m. PDT",1893,15658
CAL,"8/4/2024 7 p.m. PDT",2324,12782
CAL,"8/4/2024 8 p.m. PDT",2951,6583
CAL,"8/4/2024 9 p.m. PDT",3199,1012
CAL,"8/4/2024 10 p.m. PDT",3504,-33
CAL,"8/4/2024 11 p.m. PDT",3533,-54
CAL,"8/5/2024 12 a.m. PDT",3357,-57
CAL,"8/5/2024 1 a.m. PDT",3260,-57
CAL,"8/5/2024 2 a.m. PDT",3342,-56
CAL,"8/5/2024 3 a.m. PDT",3420,-56
CAL,"8/5/2024 4 a.m. PDT",3164,-55
CAL,"8/5/2024 5 a.m. PDT",3034,-55
CAL,"8/5/2024 6 a.m. PDT",2654,-54
CAL,"8/5/2024 7 a.m. PDT",2153,54
CAL,"8/5/2024 8 a.m. PDT",2046,1446
CAL,"8/5/2024 9 a.m. PDT",1759,7494
CAL,"8/5/2024 10 a.m. PDT",1389,13332
CAL,"8/5/2024 11 a.m. PDT",1142,15720
CAL,"8/5/2024 12 p.m. PDT",931,16629
CAL,"8/5/2024 1 p.m. PDT",862,17192
CAL,"8/5/2024 2 p.m. PDT",970,17294
CAL,"8/5/2024 3 p.m. PDT",1247,17449
CAL,"8/5/2024 4 p.m. PDT",1481,16325
CAL,"8/5/2024 5 p.m. PDT",1713,15091
CAL,"8/5/2024 6 p.m. PDT",2099,13604
CAL,"8/5/2024 7 p.m. PDT",2463,10830
CAL,"8/5/2024 8 p.m. PDT",2827,5495
CAL,"8/5/2024 9 p.m. PDT",3190,882
CAL,"8/5/2024 10 p.m. PDT",3493,58
CAL,"8/5/2024 11 p.m. PDT",3312,9
CAL,"8/6/2024 12 a.m. PDT",3263,12
CAL,"8/6/2024 1 a.m. PDT",3266,12
CAL,"8/6/2024 2 a.m. PDT",3251,12
CAL,"8/6/2024 3 a.m. PDT",3205,10
CAL,"8/6/2024 4 a.m. PDT",2995,11
CAL,"8/6/2024 5 a.m. PDT",2413,12
CAL,"8/6/2024 6 a.m. PDT",2012,10
