,WND,SUN,WAT,OIL,NG,COL,NUC,OTH
2021-05-01 00:00:00+00:00,1785,1237,115,0,1381,2591,0,96
2021-05-01 01:00:00+00:00,1693,1020,115,0,1461,2692,0,83
2021-05-01 02:00:00+00:00,1239,283,117,0,1700,2706,0,91
2021-05-01 03:00:00+00:00,941,6,115,0,1722,2687,0,100
2021-05-01 04:00:00+00:00,725,0,115,0,1695,2669,0,104
2021-05-01 05:00:00+00:00,798,0,121,0,1532,2703,0,104
2021-05-01 06:00:00+00:00,828,0,127,0,1302,2699,0,105
2021-05-01 07:00:00+00:00,891,0,145,0,1190,2468,0,107
2021-05-01 08:00:00+00:00,1000,0,146,0,1191,2433,0,108
2021-05-01 09:00:00+00:00,1239,0,146,0,1115,2423,0,107
2021-05-01 10:00:00+00:00,1229,0,144,0,1193,2460,0,110
2021-05-01 11:00:00+00:00,1101,0,143,0,1062,2456,0,109
2021-05-01 12:00:00+00:00,1185,0,143,0,1055,2443,0,109
2021-05-01 13:00:00+00:00,1037,4,145,0,1138,2467,0,107
2021-05-01 14:00:00+00:00,925,189,143,0,1132,2458,0,107
2021-05-01 15:00:00+00:00,645,583,149,0,1262,2463,0,108
2021-05-01 16:00:00+00:00,549,844,146,0,1002,2405,0,106
2021-05-01 17:00:00+00:00,521,1094,150,0,883,2022,0,103
2021-05-01 18:00:00+00:00,684,1136,145,0,892,1721,0,100
2021-05-01 19:00:00+00:00,874,1135,149,0,924,1292,0,99
2021-05-01 20:00:00+00:00,1009,949,148,0,1008,1290,0,97
2021-05-01 21:00:00+00:00,1028,999,148,0,972,1319,0,88
2021-05-01 22:00:00+00:00,1522,1264,145,0,977,1376,0,84
2021-05-01 23:00:00+00:00,1517,1353,144,0,967,1473,0,84
2021-05-02 00:00:00+00:00,915,1359,142,0,1114,1604,0,84
2021-05-02 01:00:00+00:00,1035,1149,141,0,1171,1801,0,84
2021-05-02 02:00:00+00:00,1236,393,142,0,1574,2352,0,97
2021-05-02 03:00:00+00:00,1164,4,146,0,1724,2624,0,100
2021-05-02 04:00:00+00:00,731,0,142,0,1684,2685,0,100
2021-05-02 05:00:00+00:00,654,0,140,0,1645,2675,0,104
2021-05-02 06:00:00+00:00,937,0,142,0,1366,2609,0,104
2021-05-02 07:00:00+00:00,810,0,126,0,1153,2610,0,103
2021-05-02 08:00:00+00:00,932,0,123,0,995,2501,0,104
2021-05-02 09:00:00+00:00,1062,0,123,0,896,2213,0,93
2021-05-02 10:00:00+00:00,1199,0,127,0,923,1983,0,104
2021-05-02 11:00:00+00:00,811,0,128,0,953,1879,0,110
2021-05-02 12:00:00+00:00,856,0,125,0,931,2232,0,112
2021-05-02 13:00:00+00:00,1173,14,126,0,948,2118,0,111
2021-05-02 14:00:00+00:00,1183,473,126,0,923,1968,0,112
2021-05-02 15:00:00+00:00,1144,1211,132,0,914,1211,0,109
2021-05-02 16:00:00+00:00,1146,1366,131,0,902,1061,0,107
2021-05-02 17:00:00+00:00,1222,1401,132,0,903,986,0,107
2021-05-02 18:00:00+00:00,1366,1395,130,0,933,840,0,105
2021-05-02 19:00:00+00:00,1302,1345,133,0,940,807,0,104
2021-05-02 20:00:00+00:00,1423,1289,131,0,925,791,0,104
2021-05-02 21:00:00+00:00,1722,1133,130,0,963,880,0,104
2021-05-02 22:00:00+00:00,2002,956,128,0,953,1039,0,103
2021-05-02 23:00:00+00:00,1936,745,127,0,967,1260,0,105
2021-05-03 00:00:00+00:00,1964,548,128,0,1061,1342,0,105
2021-05-03 01:00:00+00:00,2048,256,128,0,1329,1608,0,105
2021-05-03 02:00:00+00:00,1855,67,129,0,1519,2038,0,108
2021-05-03 03:00:00+00:00,1703,8,127,0,1565,2384,0,111
2021-05-03 04:00:00+00:00,1862,0,128,0,1491,2433,0,108
2021-05-03 05:00:00+00:00,1843,0,128,0,1448,2453,0,106
2021-05-03 06:00:00+00:00,1669,0,127,0,1225,2404,0,103
