hour_index,WND,SUN,WAT,OIL,NG,COL,NUC,OTH
0,1785,1237,115,0,1381,2591,0,96
1,1693,1020,115,0,1461,2692,0,83
2,1239,283,117,0,1700,2706,0,91
3,941,6,115,0,1722,2687,0,100
4,725,0,115,0,1695,2669,0,104
5,798,0,121,0,1532,2703,0,104
6,828,0,127,0,1302,2699,0,105
7,891,0,145,0,1190,2468,0,107
8,1000,0,146,0,1191,2433,0,108
9,1239,0,146,0,1115,2423,0,107
10,1229,0,144,0,1193,2460,0,110
11,1101,0,143,0,1062,2456,0,109
12,1185,0,143,0,1055,2443,0,109
13,1037,4,145,0,1138,2467,0,107
14,925,189,143,0,1132,2458,0,107
15,645,583,149,0,1262,2463,0,108
16,549,844,146,0,1002,2405,0,106
17,521,1094,150,0,883,2022,0,103
18,684,1136,145,0,892,1721,0,100
19,874,1135,149,0,924,1292,0,99
20,1009,949,148,0,1008,1290,0,97
21,1028,999,148,0,972,1319,0,88
22,1522,1264,145,0,977,1376,0,84
23,1517,1353,144,0,967,1473,0,84
24,915,1359,142,0,1114,1604,0,84
25,1035,1149,141,0,1171,1801,0,84
26,1236,393,142,0,1574,2352,0,97
27,1164,4,146,0,1724,2624,0,100
28,731,0,142,0,1684,2685,0,100
29,654,0,140,0,1645,2675,0,104
30,937,0,142,0,1366,2609,0,104
31,810,0,126,0,1153,2610,0,103
32,932,0,123,0,995,2501,0,104
33,1062,0,123,0,896,2213,0,93
34,1199,0,127,0,923,1983,0,104
35,811,0,128,0,953,1879,0,110
36,856,0,125,0,931,2232,0,112
37,1173,14,126,0,948,2118,0,111
38,1183,473,126,0,923,1968,0,112
39,1144,1211,132,0,914,1211,0,109
40,1146,1366,131,0,902,1061,0,107
41,1222,1401,132,0,903,986,0,107
42,1366,1395,130,0,933,840,0,105
43,1302,1345,133,0,940,807,0,104
44,1423,1289,131,0,925,791,0,104
45,1722,1133,130,0,963,880,0,104
46,2002,956,128,0,953,1039,0,103
47,1936,745,127,0,967,1260,0,105
48,1964,548,128,0,1061,1342,0,105
49,2048,256,128,0,1329,1608,0,105
50,1855,67,129,0,1519,2038,0,108
51,1703,8,127,0,1565,2384,0,111
52,1862,0,128,0,1491,2433,0,108
53,1843,0,128,0,1448,2453,0,106
54,1669,0,127,0,1225,2404,0,103
55,1656,0,140,0,1108,2285,0,111
56,1333,0,129,0,1023,2451,0,109
57,1011,0,127,0,1009,2550,0,110
58,1151,0,127,0,1006,2580,0,110
59,1157,0,126,0,1011,2441,0,111
60,1054,0,130,0,1066,2567,0,110
61,812,7,126,0,1210,2706,0,108
62,676,234,127,0,1180,2695,0,108
63,858,747,129,0,975,2645,0,109
64,834,901,129,0,809,2393,0,179
65,755,1106,126,0,807,2037,0,111
66,649,1268,127,0,800,1779,0,109
67,416,1238,128,0,797,1744,0,107
68,337,1137,127,0,822,1931,0,107
69,323,1193,128,0,847,2027,0,109
70,288,1198,126,0,844,2180,0,106
71,253,1058,126,0,829,2337,0,108
72,259,1158,131,0,953,2235,0,108
73,205,1075,126,0,1203,2710,0,109
74,205,416,128,0,1533,3020,0,109
75,360,12,126,0,1575,3052,0,110
76,432,0,128,0,1599,3087,0,111
77,439,0,124,0,1511,3051,0,111
78,441,0,126,0,1411,3056,0,110
79,453,0,140,0,1338,3043,0,82
80,416,0,144,0,1137,3049,0,75
81,468,0,141,0,1164,3047,0,71
82,459,0,142,0,1048,3031,0,71
83,398,0,141,0,1025,2977,0,72
84,452,0,140,0,1015,2941,0,71
85,426,21,143,0,1230,3019,0,68
86,325,579,139,0,1264,3015,0,71
87,358,1256,137,0,1138,2816,0,74
88,543,1392,143,0,949,2709,0,73
89,852,1442,134,0,937,2339,0,71
90,934,1453,136,0,1016,2005,0,69
91,989,1448,137,0,974,2333,0,69
92,1113,1418,139,0,1017,2725,0,70
93,1227,1390,140,0,919,2768,0,67
94,959,1405,141,0,1019,2920,0,68
95,956,1384,142,0,991,2993,0,69
96,774,1345,139,0,1048,2860,0,67
97,780,1169,141,0,1405,3025,0,69
98,972,454,141,0,1690,3048,0,71
99,935,7,137,0,1769,2841,0,76
100,888,0,138,0,1754,2925,0,107
101,503,0,138,0,1732,2983,0,111
102,278,0,138,0,1663,3072,0,111
103,276,0,144,0,1587,3118,0,110
104,218,0,140,0,1450,3172,0,110
105,190,0,144,0,1405,3176,0,108
106,232,0,143,0,1378,3170,0,107
107,174,0,142,0,1399,3189,0,107
108,258,0,142,0,1396,3189,0,106
109,346,33,141,0,1500,3180,0,106
110,424,613,140,0,1490,3106,0,110
111,558,1329,144,0,1108,2989,0,109
112,616,1441,146,0,1042,2834,0,109
113,521,1430,147,0,1020,2761,0,107
114,361,1480,151,0,1021,2655,0,104
115,519,1439,146,0,1051,2590,0,104
116,794,1486,149,0,1158,2713,0,105
117,1003,1473,147,0,1092,2885,0,102
118,1225,1424,148,0,1106,2972,0,101
