Time,Generated Power,UPS 1 Battery Charge Level,UPS 2 Battery Charge Level,UPS 3 Battery Charge Level,UPS 1 Status,UPS 2 Status,UPS 3 Status,UPS 1 Deliverable Power,UPS 2 Deliverable Power,UPS 3 Deliverable Power,Total Power Usage,Server Power Usage,Cool Power Usage,Other Power Usage,Online UPS Power,Normal Rack 1 Max Load %,Normal Rack 2 Max Load %,Normal Rack 3 Max Load %,Wireless Rack 1 Max Load %,Battery Control Limit,Battery Recover Signal
0,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,28672.0,20480,6144.0,2048.0,24000.0,100,100,100,100,1440000.0,2520000.0
1,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,28672.0,20480,6144.0,2048.0,24000.0,100,100,100,100,1440000.0,2520000.0
2,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,31360.0,22400,6720.0,2240.0,24000.0,100,100,100,100,1440000.0,2520000.0
3,35000,3599840.0,3599840.0,3599840.0,True,True,True,8000.0,8000.0,8000.0,34272.0,24480,7344.0,2448.0,24000.0,100,100,100,100,1440000.0,2520000.0
4,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,28672.0,20480,6144.0,2048.0,24000.0,100,100,100,100,1440000.0,2520000.0
5,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,28672.0,20480,6144.0,2048.0,24000.0,100,100,100,100,1440000.0,2520000.0
6,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,31360.0,22400,6720.0,2240.0,24000.0,100,100,100,100,1440000.0,2520000.0
7,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,28672.0,20480,6144.0,2048.0,24000.0,100,100,100,100,1440000.0,2520000.0
8,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,26432.0,18880,5664.0,1888.0,24000.0,100,100,100,100,1440000.0,2520000.0
9,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,31360.0,22400,6720.0,2240.0,24000.0,100,100,100,100,1440000.0,2520000.0
10,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,31360.0,22400,6720.0,2240.0,24000.0,100,100,100,100,1440000.0,2520000.0
11,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,26432.0,18880,5664.0,1888.0,24000.0,100,100,100,100,1440000.0,2520000.0
12,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,31360.0,22400,6720.0,2240.0,24000.0,100,100,100,100,1440000.0,2520000.0
13,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,28672.0,20480,6144.0,2048.0,24000.0,100,100,100,100,1440000.0,2520000.0
14,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,31360.0,22400,6720.0,2240.0,24000.0,100,100,100,100,1440000.0,2520000.0
15,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,28672.0,20480,6144.0,2048.0,24000.0,100,100,100,100,1440000.0,2520000.0
16,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,31360.0,22400,6720.0,2240.0,24000.0,100,100,100,100,1440000.0,2520000.0
17,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,28672.0,20480,6144.0,2048.0,24000.0,100,100,100,100,1440000.0,2520000.0
18,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,26432.0,18880,5664.0,1888.0,24000.0,100,100,100,100,1440000.0,2520000.0
19,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,31360.0,22400,6720.0,2240.0,24000.0,100,100,100,100,1440000.0,2520000.0
20,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,31360.0,22400,6720.0,2240.0,24000.0,100,100,100,100,1440000.0,2520000.0
21,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,31360.0,22400,6720.0,2240.0,24000.0,100,100,100,100,1440000.0,2520000.0
22,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,28672.0,20480,6144.0,2048.0,24000.0,100,100,100,100,1440000.0,2520000.0
23,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,28672.0,20480,6144.0,2048.0,24000.0,100,100,100,100,1440000.0,2520000.0
24,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,26432.0,18880,5664.0,1888.0,24000.0,100,100,100,100,1440000.0,2520000.0
25,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,31360.0,22400,6720.0,2240.0,24000.0,100,100,100,100,1440000.0,2520000.0
26,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,31360.0,22400,6720.0,2240.0,24000.0,100,100,100,100,1440000.0,2520000.0
27,35000,3599840.0,3599840.0,3599840.0,True,True,True,8000.0,8000.0,8000.0,34272.0,24480,7344.0,2448.0,24000.0,100,100,100,100,1440000.0,2520000.0
28,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,31360.0,22400,6720.0,2240.0,24000.0,100,100,100,100,1440000.0,2520000.0
29,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,26432.0,18880,5664.0,1888.0,24000.0,100,100,100,100,1440000.0,2520000.0
30,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,28672.0,20480,6144.0,2048.0,24000.0,100,100,100,100,1440000.0,2520000.0
31,35000,3599840.0,3599840.0,3599840.0,True,True,True,8000.0,8000.0,8000.0,34272.0,24480,7344.0,2448.0,24000.0,100,100,100,100,1440000.0,2520000.0
32,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,31360.0,22400,6720.0,2240.0,24000.0,100,100,100,100,1440000.0,2520000.0
33,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,28672.0,20480,6144.0,2048.0,24000.0,100,100,100,100,1440000.0,2520000.0
34,35000,3599840.0,3599840.0,3599840.0,True,True,True,8000.0,8000.0,8000.0,34272.0,24480,7344.0,2448.0,24000.0,100,100,100,100,1440000.0,2520000.0
35,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,28672.0,20480,6144.0,2048.0,24000.0,100,100,100,100,1440000.0,2520000.0
36,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,28672.0,20480,6144.0,2048.0,24000.0,100,100,100,100,1440000.0,2520000.0
37,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,28672.0,20480,6144.0,2048.0,24000.0,100,100,100,100,1440000.0,2520000.0
38,35000,3599840.0,3599840.0,3599840.0,True,True,True,8000.0,8000.0,8000.0,34272.0,24480,7344.0,2448.0,24000.0,100,100,100,100,1440000.0,2520000.0
39,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,31360.0,22400,6720.0,2240.0,24000.0,100,100,100,100,1440000.0,2520000.0
40,35000,3599840.0,3599840.0,3599840.0,True,True,True,8000.0,8000.0,8000.0,34272.0,24480,7344.0,2448.0,24000.0,100,100,100,100,1440000.0,2520000.0
41,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,28672.0,20480,6144.0,2048.0,24000.0,100,100,100,100,1440000.0,2520000.0
42,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,26432.0,18880,5664.0,1888.0,24000.0,100,100,100,100,1440000.0,2520000.0
43,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,31360.0,22400,6720.0,2240.0,24000.0,100,100,100,100,1440000.0,2520000.0
44,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,31360.0,22400,6720.0,2240.0,24000.0,100,100,100,100,1440000.0,2520000.0
45,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,31360.0,22400,6720.0,2240.0,24000.0,100,100,100,100,1440000.0,2520000.0
46,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,26432.0,18880,5664.0,1888.0,24000.0,100,100,100,100,1440000.0,2520000.0
47,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,28672.0,20480,6144.0,2048.0,24000.0,100,100,100,100,1440000.0,2520000.0
48,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,26432.0,18880,5664.0,1888.0,24000.0,100,100,100,100,1440000.0,2520000.0
49,35000,3600000,3600000,3600000,True,True,True,8000.0,8000.0,8000.0,31360.0,22400,6720.0,2240.0,24000.0,100,100,100,100,1440000.0,2520000.0
50,35000,3599840.0,3599840.0,3599840.0,True,True,True,8000.0,8000.0,8000.0,34272.0,24480,7344.0,2448.0,24000.0,100,100,100,100,1440000.0,2520000.0
